Category,Sub-category,Sub-sub-category,Name,Readable Name,# of bytes,Byte 1,Byte 2,Variable R/W status,Type,Argument(s) type(s) & value(s),Return type & value,Comments,Description
,,,n\uf01ed,n⁄d,2,EF,39,,Action,,,,
,,,Un\uf01ed,Un⁄d,2,EF,3A,,Action,,,,
,,,AUTO,AUTO,2,EF,3B,,Action,,,,
,,,DEC,DEC,2,EF,3C,,Action,,,,
,,,FRAC,FRAC,2,EF,3D,,Action,,,,
,,,FRAC-APPROX,FRAC-APPROX,2,EF,3D,,Action,,,Alias / Old,
,,,STATWIZARD ON,STATWIZARD ON,2,EF,3F,,Action,,,,
,,,STATWIZARD OFF,STATWIZARD OFF,2,EF,40,,Action,,,,
,,,BLUE,BLUE,2,EF,41,,Action,,,,
,,,RED,RED,2,EF,42,,Action,,,,
,,,BLACK,BLACK,2,EF,43,,Action,,,,
,,,MAGENTA,MAGENTA,2,EF,44,,Action,,,,
,,,GREEN,GREEN,2,EF,45,,Action,,,,
,,,ORANGE,ORANGE,2,EF,46,,Action,,,,
,,,BROWN,BROWN,2,EF,47,,Action,,,,
,,,NAVY,NAVY,2,EF,48,,Action,,,,
,,,LTBLUE,LTBLUE,2,EF,49,,Action,,,,
,,,YELLOW,YELLOW,2,EF,4A,,Action,,,,
,,,WHITE,WHITE,2,EF,4B,,Action,,,,
,,,LTGRAY,LTGRAY,2,EF,4C,,Action,,,,
,,,MEDGRAY,MEDGRAY,2,EF,4D,,Action,,,,
,,,GRAY,GRAY,2,EF,4E,,Action,,,,
,,,DARKGRAY,DARKGRAY,2,EF,4F,,Action,,,,
,,,Image1,Image1,2,EF,50,Read/Write,Variable,,,,
,,,Image2,Image2,2,EF,51,Read/Write,Variable,,,,
,,,Image3,Image3,2,EF,52,Read/Write,Variable,,,,
,,,Image4,Image4,2,EF,53,Read/Write,Variable,,,,
,,,Image5,Image5,2,EF,54,Read/Write,Variable,,,,
,,,Image6,Image6,2,EF,55,Read/Write,Variable,,,,
,,,Image7,Image7,2,EF,56,Read/Write,Variable,,,,
,,,Image8,Image8,2,EF,57,Read/Write,Variable,,,,
,,,Image9,Image9,2,EF,58,Read/Write,Variable,,,,
,,,Image0,Image0,2,EF,59,Read/Write,Variable,,,,
,,,GridLine ,GridLine ,2,EF,5A,,Action,,,,
,,,BackgroundOn ,BackgroundOn ,2,EF,5B,,Action,,,,
,,,BackgroundOff,BackgroundOff,2,EF,64,,Action,,,,
,,,GraphColor(,GraphColor(,2,EF,65,,Function,,,,
,,,TextColor(,TextColor(,2,EF,67,,Function,,,,
,,,Asm84CPrgm,Asm84CPrgm,2,EF,68,,BASIC instruction only,,,,
,,,DetectAsymOn,DetectAsymOn,2,EF,6A,,Action,,,,
,,,DetectAsymOff,DetectAsymOff,2,EF,6B,,Action,,,,
,,,BorderColor ,BorderColor ,2,EF,6C,,Function,,,,
,,,\u00b7,·,2,EF,73,,Other,,,,
,,,Thin,Thin,2,EF,74,,Action,,,,
,,,Dot-Thin,Dot-Thin,2,EF,75,,Action,,,,
,,,Asm83CEPrgm,Asm83CEPrgm,2,EF,7A,,BASIC instruction only,,,,
,,,Asm84CEPrgm,Asm84CEPrgm,2,EF,7A,,BASIC instruction only,,,,
,,,^,^,1,F0,,,Infix operator,,,,
,,,\uf006\u221a,ˣ√,1,F1,,,Infix operator,,,,
,,,1-Var Stats ,1-Var Stats ,1,F2,,,Function,,,,
,,,2-Var Stats ,2-Var Stats ,1,F3,,,Function,,,,
,,,LinReg(a+bx) ,LinReg(a+bx) ,1,F4,,,Function,,,,
,,,ExpReg ,ExpReg ,1,F5,,,Function,,,,
,,,LnReg ,LnReg ,1,F6,,,Function,,,,
,,,PwrReg ,PwrReg ,1,F7,,,Function,,,,
,,,Med-Med ,Med-Med ,1,F8,,,Function,,,,
,,,QuadReg ,QuadReg ,1,F9,,,Function,,,,
,,,ClrList ,ClrList ,1,FA,,,Function,,,,
,,,ClrTable,ClrTable,1,FB,,,Function,,,,
,,,Histogram,Histogram,1,FC,,,Other,,,,
,,,xyLine,xyLine,1,FD,,,Other,,,,
,,,Scatter,Scatter,1,FE,,,Other,,,,
,,,LinReg(ax+b) ,LinReg(ax+b) ,1,FF,,,Function,,,,
